,id,city,lat,lng
0,1,Sydney,-33.865,151.2094
1,2,Melbourne,-37.8136,144.9631
2,3,Brisbane,-27.4678,153.0281
3,4,Perth,-31.9522,115.8589
4,5,Adelaide,-34.9289,138.6011
5,6,Gold Coast,-28.0167,153.4
6,7,Cranbourne,-38.0996,145.2834
7,8,Canberra,-35.2931,149.1269
8,9,Newcastle,-32.9167,151.75
9,10,Wollongong,-34.4331,150.8831
10,11,Geelong,-38.15,144.35
11,12,Hobart,-42.8806,147.325
12,13,Townsville,-19.2564,146.8183
13,14,Ipswich,-27.6167,152.7667
14,15,Cairns,-16.9303,145.7703
15,16,Toowoomba,-27.5667,151.95
16,17,Darwin,-12.4381,130.8411
17,18,Ballarat,-37.55,143.85
18,19,Bendigo,-36.75,144.2667
19,20,Launceston,-41.4419,147.145
20,21,Mackay,-21.1411,149.1861
21,22,Rockhampton,-23.375,150.5117
22,23,Maitland,-32.7167,151.55
23,24,Bunbury,-33.3333,115.6333
